,artists,song,album_images,playlist_name,genre
19,['Polo G'],Epidemic,https://i.scdn.co/image/ab67616d00001e02ec495f44eb359e3594cd7aa1,RapCaviar,Rap
20,['Big Sean'],Detroit 2,https://i.scdn.co/image/ab67616d00001e02b1b3fdd23be4c158d4d2c32f,RapCaviar,Rap
21,['Lil Tjay'],Losses,https://i.scdn.co/image/ab67616d00001e0226a6dfea32bce8cc5de74b38,RapCaviar,Rap
22,"['Future', 'Lil Uzi Vert']",Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d00001e0257928e0363878a71692e6a1f,RapCaviar,Rap
23,['2 Chainz'],So Help Me God!,https://i.scdn.co/image/ab67616d00001e025aa0595fedf70e27dca892c7,RapCaviar,Rap
24,['Ty Dolla $ign'],Spicy (feat. Post Malone),https://i.scdn.co/image/ab67616d00001e02ba2d83c086616d4199e3762f,RapCaviar,Rap
25,['Trippie Redd'],Pegasus (Spooky Sounds Edition),https://i.scdn.co/image/ab67616d00001e02157274a974ff87db8de63104,RapCaviar,Rap
26,"['21 Savage', 'Metro Boomin']",SAVAGE MODE II,https://i.scdn.co/image/ab67616d00001e02aa57907bf0cb2ca0c8cc74bc,RapCaviar,Rap
27,['French Montana'],Double G (feat. Pop Smoke),https://i.scdn.co/image/ab67616d00001e029df3e60c3f3a8ffaf3a61550,RapCaviar,Rap
28,"['Future', 'Lil Uzi Vert']",Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d00001e0257928e0363878a71692e6a1f,RapCaviar,Rap
29,"['Future', 'Lil Uzi Vert']",Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d00001e0257928e0363878a71692e6a1f,RapCaviar,Rap
30,"['Travis Scott', 'Young Thug', 'M.I.A.']",FRANCHISE (feat. Young Thug & M.I.A.),https://i.scdn.co/image/ab67616d00001e0270f2ab5608885749f7210b5f,RapCaviar,Rap
31,"['City Girls', 'Quavo', 'Lil Wayne']","Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]",https://i.scdn.co/image/ab67616d00001e026be5acc3318c51984c1a19e7,RapCaviar,Rap
32,['NAV'],Emergency Tsunami,https://i.scdn.co/image/ab67616d00001e0292621d7615b7f5d056f5bbfe,RapCaviar,Rap
33,"['Jeezy', 'Yo Gotti']",Back,https://i.scdn.co/image/ab67616d00001e02c3c9fc2c3e5bf5793d4176f2,RapCaviar,Rap
34,['Lil Mosey'],Jumpin Out The Face,https://i.scdn.co/image/ab67616d00001e022fcc739eb5a72a4ec72c90e5,RapCaviar,Rap
35,"['Freddie Gibbs', 'Hit-Boy']",4 Thangs (feat. Big Sean & Hit-Boy),https://i.scdn.co/image/ab67616d00001e023ea482f6b4febc536b32e608,RapCaviar,Rap
36,['Rod Wave'],All Week,https://i.scdn.co/image/ab67616d00001e023ec284436406885e9463df26,RapCaviar,Rap
37,['T.I.'],The L.I.B.R.A.,https://i.scdn.co/image/ab67616d00001e02537e2bf93a6bfb3b2ed3f02e,RapCaviar,Rap
38,['NLE Choppa'],From Dark to Light,https://i.scdn.co/image/ab67616d00001e0215b8c6093289caeb7929599b,RapCaviar,Rap
39,"['WhoHeem', 'Tyga', 'Lil Mosey']",Lets Link (feat. Tyga & Lil Mosey),https://i.scdn.co/image/ab67616d00001e02eeaf0bad5bf8392898e18b53,RapCaviar,Rap
40,"['Saweetie', 'Jhené Aiko']",Back to the Streets (feat. Jhené Aiko),https://i.scdn.co/image/ab67616d00001e02ba200e818b41aa680a6c629c,RapCaviar,Rap
41,['Trippie Redd'],Sleepy Hollow,https://i.scdn.co/image/ab67616d00001e026f53f721c7bed7f8d159cfcb,RapCaviar,Rap
42,"['Lil Durk', '6LACK', 'Young Thug']",Stay Down (with 6LACK & Young Thug),https://i.scdn.co/image/ab67616d00001e023b0fea20c148f3bdc7995788,RapCaviar,Rap
43,['BRS Kash'],Throat Baby (Go Baby),https://i.scdn.co/image/ab67616d00001e0249ac683ae9305f95ff58a865,RapCaviar,Rap
44,"['Mike WiLL Made-It', 'Nicki Minaj', 'YoungBoy Never Broke Again']",What That Speed Bout!?,https://i.scdn.co/image/ab67616d00001e026286b366f3065516f51ce06e,RapCaviar,Rap
45,['Saweetie'],"Tap In (feat. Post Malone, DaBaby & Jack Harlow)",https://i.scdn.co/image/ab67616d00001e02104c360641f08f5c1e164218,RapCaviar,Rap
46,['2 Chainz'],So Help Me God!,https://i.scdn.co/image/ab67616d00001e025aa0595fedf70e27dca892c7,RapCaviar,Rap
47,"['Cardi B', 'Megan Thee Stallion']",WAP (feat. Megan Thee Stallion),https://i.scdn.co/image/ab67616d00001e02c450c89d3eb750d3535b0a0c,RapCaviar,Rap
48,['Mulatto'],Muwop (feat. Gucci Mane),https://i.scdn.co/image/ab67616d00001e02d9b3798e602cd1f419117157,RapCaviar,Rap
49,['Megan Thee Stallion'],Don’t Stop (feat. Young Thug),https://i.scdn.co/image/ab67616d00001e02423c3bbb123be321158bbb26,RapCaviar,Rap
0,['Billie Eilish'],Therefore I Am,https://i.scdn.co/image/ab67616d00001e02fec5ef9f3133aff71c525acc,Pop Rising,Pop
1,['Sara Kays'],Remember That Night?,https://i.scdn.co/image/ab67616d00001e02f36780c7d24ed9e6340c1fde,Pop Rising,Pop
2,['Tones And I'],Fly Away,https://i.scdn.co/image/ab67616d00001e028c897bc19eeadf12de0dbd9a,Pop Rising,Pop
3,['HVME'],Goosebumps,https://i.scdn.co/image/ab67616d00001e025d29fc4c51a450bd32135de1,Pop Rising,Pop
4,['Lil Nas X'],HOLIDAY,https://i.scdn.co/image/ab67616d00001e026771a05f34d77e5fc2bde64c,Pop Rising,Pop
5,['The Kid LAROI'],F*CK LOVE (SAVAGE),https://i.scdn.co/image/ab67616d00001e02df16d539f508603bfb1efe02,Pop Rising,Pop
6,"['MEDUZA', 'Dermot Kennedy']",Paradise,https://i.scdn.co/image/ab67616d00001e02b6567be9f8b996a2b5f9b7fa,Pop Rising,Pop
7,"['Dua Lipa', 'Angèle']",Fever,https://i.scdn.co/image/ab67616d00001e022ce9eae0b5b4ab512ed08865,Pop Rising,Pop
8,"['24kGoldn', 'Justin Bieber', 'J Balvin']","Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",https://i.scdn.co/image/ab67616d00001e0260036f58bbb4b25a7a6f2712,Pop Rising,Pop
9,"['Miley Cyrus', 'Stevie Nicks']",Edge of Midnight (Midnight Sky Remix) (feat. Stevie Nicks),https://i.scdn.co/image/ab67616d00001e02a11119d93d213de96081c6e7,Pop Rising,Pop
10,['347aidan'],Dancing in My Room,https://i.scdn.co/image/ab67616d00001e021d3ed2480dd4944e094484f4,Pop Rising,Pop
11,['The Kid LAROI'],SO DONE,https://i.scdn.co/image/ab67616d00001e02e59aad3262c3ca9107ca5c2f,Pop Rising,Pop
12,['Popp Hunna'],Adderall (Corvette Corvette),https://i.scdn.co/image/ab67616d00001e02132253edc32d503a6d1f0298,Pop Rising,Pop
13,"['Future', 'Lil Uzi Vert']",Pluto x Baby Pluto,https://i.scdn.co/image/ab67616d00001e0257928e0363878a71692e6a1f,Pop Rising,Pop
14,['Ariana Grande'],Positions,https://i.scdn.co/image/ab67616d00001e026484dfce3cc12e68d8aa2e55,Pop Rising,Pop
15,['Little Mix'],Sweet Melody,https://i.scdn.co/image/ab67616d00001e02d8bd7cd17c4d1c97f445b184,Pop Rising,Pop
16,"['Foster', 'Sody', 'Sarcastic Sounds']",fools (can't help falling in love),https://i.scdn.co/image/ab67616d00001e02cce55e13a5956d89ee95c6cc,Pop Rising,Pop
17,['Tate McRae'],Spotify Singles,https://i.scdn.co/image/ab67616d00001e022cf3f3669e1208952c9de212,Pop Rising,Pop
18,['BENEE'],Hey u x,https://i.scdn.co/image/ab67616d00001e024bd20e01d00de4b35b61f5f7,Pop Rising,Pop
19,['Harry Styles'],Fine Line,https://i.scdn.co/image/ab67616d00001e0277fdcfda6535601aff081b6a,Pop Rising,Pop
20,"['Robin Schulz', 'KIDDO']",All We Got (feat. KIDDO),https://i.scdn.co/image/ab67616d00001e022de76be172e12f6ba04c9cd9,Pop Rising,Pop
21,"['Maluma', 'The Weeknd']",Hawái (Remix),https://i.scdn.co/image/ab67616d00001e02be768155351bbd7d4c19ab13,Pop Rising,Pop
22,['Ariana Grande'],positions,https://i.scdn.co/image/ab67616d00001e027368325f5998ef48d4fb5401,Pop Rising,Pop
23,['CJ'],Whoopty,https://i.scdn.co/image/ab67616d00001e027af305bd0347c5d238f9333b,Pop Rising,Pop
24,"['G-Eazy', 'blackbear']",Hate The Way (feat. blackbear),https://i.scdn.co/image/ab67616d00001e02cad9ceeebb8d1dd84e5ce8d9,Pop Rising,Pop
25,['Pink Sweat$'],The Prelude,https://i.scdn.co/image/ab67616d00001e02e99f7b031daf4e3bc1c275e5,Pop Rising,Pop
26,['Aries'],FOOL'S GOLD,https://i.scdn.co/image/ab67616d00001e021775c272fc6322fa8a92c721,Pop Rising,Pop
27,['Dermot Kennedy'],Without Fear,https://i.scdn.co/image/ab67616d00001e02ba3249d8dbaaf029ad8c86bb,Pop Rising,Pop
28,['Anne-Marie'],Problems,https://i.scdn.co/image/ab67616d00001e02dbecd3d4b91dc8528e7860dd,Pop Rising,Pop
29,['Sam Smith'],Love Goes,https://i.scdn.co/image/ab67616d00001e028d1974dc3ab1893678ae499a,Pop Rising,Pop
30,"['Justin Bieber', 'benny blanco']",Lonely (with benny blanco),https://i.scdn.co/image/ab67616d00001e0283b22beb73e2014b20159685,Pop Rising,Pop
31,"['Tate McRae', 'Ali Gatie']",lie to me,https://i.scdn.co/image/ab67616d00001e02974922047f02120b72d697b3,Pop Rising,Pop
32,['Fousheé'],single af,https://i.scdn.co/image/ab67616d00001e0221622f01028528ea45cda421,Pop Rising,Pop
33,"[""Why Don't We""]",Fallin’ (Adrenaline),https://i.scdn.co/image/ab67616d00001e0262d3381a88a63957b563967e,Pop Rising,Pop
34,"['Alesso', 'Charlotte Lawrence']",THE END,https://i.scdn.co/image/ab67616d00001e025ec079dde31d5017713044fd,Pop Rising,Pop
35,"['Ofenbach', 'Quarterhead', 'Norma Jean Martine']",Head Shoulders Knees & Toes (feat. Norma Jean Martine),https://i.scdn.co/image/ab67616d00001e02ebafa7f05f414679c41b0de5,Pop Rising,Pop
36,"['Lukas Graham', 'Wiz Khalifa']",Where I’m From (feat. Wiz Khalifa),https://i.scdn.co/image/ab67616d00001e02878209278c7db319dbb69308,Pop Rising,Pop
37,['Ariana Grande'],Positions,https://i.scdn.co/image/ab67616d00001e025ef878a782c987d38d82b605,Pop Rising,Pop
38,['Ty Dolla $ign'],Spicy (feat. Post Malone),https://i.scdn.co/image/ab67616d00001e02ba2d83c086616d4199e3762f,Pop Rising,Pop
39,"['Marshmello', 'Imanbek', 'Usher']",Too Much (feat. Usher),https://i.scdn.co/image/ab67616d00001e0277d85d6688b7010ce154fe0a,Pop Rising,Pop
40,"['Zedd', 'Griff']",Inside Out (feat. Griff),https://i.scdn.co/image/ab67616d00001e02c0144e6a8931844424c1d2f0,Pop Rising,Pop
41,['Halsey'],Manic,https://i.scdn.co/image/ab67616d00001e02309b0cb81728d42a6dfb2b81,Pop Rising,Pop
42,['Dermot Kennedy'],Without Fear (The Complete Edition),https://i.scdn.co/image/ab67616d00001e027f56f9258b62d9b1a9488f3d,Pop Rising,Pop
43,['Glass Animals'],Dreamland,https://i.scdn.co/image/ab67616d00001e02712701c5e263efc8726b1464,Pop Rising,Pop
44,['Major Lazer'],Music Is The Weapon,https://i.scdn.co/image/ab67616d00001e02aacbfc6de7128a834757fea4,Pop Rising,Pop
45,['Daya'],First Time,https://i.scdn.co/image/ab67616d00001e027e900a9bc386e913f4575f61,Pop Rising,Pop
46,"['Dua Lipa', 'DaBaby']",Levitating (feat. DaBaby),https://i.scdn.co/image/ab67616d00001e0249caa4fc6f962057ba65576a,Pop Rising,Pop
47,['Jack Harlow'],Tyler Herro,https://i.scdn.co/image/ab67616d00001e02b4e9cc30c40e502c3472e055,Pop Rising,Pop
48,"['jxdn', 'iann dior']",Tonight (feat. iann dior),https://i.scdn.co/image/ab67616d00001e02d33775fb24dae9d06178869a,Pop Rising,Pop
49,['Lyn Lapid'],Producer Man,https://i.scdn.co/image/ab67616d00001e028a69b0e86fea7d14e330334c,Pop Rising,Pop
50,['Remi Wolf'],I'm Allergic To Dogs!,https://i.scdn.co/image/ab67616d00001e020e68fefa1408603f54a4d664,Pop Rising,Pop
51,['Ruel'],say it over (feat. Cautious Clay),https://i.scdn.co/image/ab67616d00001e02190ebe28d8b6a9c78c42c510,Pop Rising,Pop
52,['Gabby Barrett'],Goldmine,https://i.scdn.co/image/ab67616d00001e026c4c8d7e8742204879bff7b3,Pop Rising,Pop
53,['Tom Gregory'],Heaven in a World so Cold,https://i.scdn.co/image/ab67616d00001e023aab4d2f44f881d4874e629c,Pop Rising,Pop
54,['Tiësto'],The Business,https://i.scdn.co/image/ab67616d00001e02f461bbc21a9bcec43a926973,Pop Rising,Pop
55,"['DDG', 'Blueface']",Moonwalking in Calabasas (feat. Blueface) [Remix],https://i.scdn.co/image/ab67616d00001e026202477d2565e6569926c9bd,Pop Rising,Pop
56,['KAROL G'],BICHOTA,https://i.scdn.co/image/ab67616d00001e02a9c7357101e65ee6af3c3789,Pop Rising,Pop
57,['Little Mix'],Confetti,https://i.scdn.co/image/ab67616d00001e02e65e670042a27c634cf8ade1,Pop Rising,Pop
58,['Julia Michaels'],Lie Like This,https://i.scdn.co/image/ab67616d00001e0265394de36551814a6a69ec76,Pop Rising,Pop
59,"['Lauv', 'Conan Gray']",Fake,https://i.scdn.co/image/ab67616d00001e027eff443a62c51d7f9d39dc20,Pop Rising,Pop
60,"['BENEE', 'Lily Allen']",Plain (feat. Lily Allen & Flo Milli),https://i.scdn.co/image/ab67616d00001e02b70cd6c879e684e0207ba0e6,Pop Rising,Pop
61,['Fousheé'],Deep End,https://i.scdn.co/image/ab67616d00001e02bcf6d999338f72005c8522a7,Pop Rising,Pop
62,"['Swae Lee', 'Tyga', 'Lil Mosey']","Krabby Step (with Tyga & Lil Mosey) [Music From ""Sponge On The Run"" Movie]",https://i.scdn.co/image/ab67616d00001e0236eb49fb64e55ac15b60ec94,Pop Rising,Pop
63,"['Don Diablo', 'Imanbek', 'Trevor Daniel']",Kill Me Better,https://i.scdn.co/image/ab67616d00001e02028033d42eb227efdfc67565,Pop Rising,Pop
64,"['Tate McRae', 'Gryffin']",you broke me first (Gryffin Remix),https://i.scdn.co/image/ab67616d00001e02b20a957fb0415aedac89d30a,Pop Rising,Pop
65,"['Zara Larsson', 'Sabrina Carpenter']",WOW (feat. Sabrina Carpenter) [Remix],https://i.scdn.co/image/ab67616d00001e02bc73c01cd72be02b9b51c095,Pop Rising,Pop
66,['LANY'],mama's boy,https://i.scdn.co/image/ab67616d00001e02be813e62b1e1f5b8ea3dcb27,Pop Rising,Pop
67,['NF'],Chasing_(Demo),https://i.scdn.co/image/ab67616d00001e029ad2960fafd7b9656c895578,Pop Rising,Pop
68,"['Bea Miller', 'Aminé']",FEEL SOMETHING DIFFERENT,https://i.scdn.co/image/ab67616d00001e0272d8ee56d51e32bc83c577c0,Pop Rising,Pop
69,['ROLE MODEL'],blind,https://i.scdn.co/image/ab67616d00001e023decf2bd9fe7c188ec62fd39,Pop Rising,Pop
70,['Machine Gun Kelly'],Tickets To My Downfall,https://i.scdn.co/image/ab67616d00001e02d4d4929a3a86fe2f9fadbd42,Pop Rising,Pop
71,"['Mike WiLL Made-It', 'Nicki Minaj', 'YoungBoy Never Broke Again']",What That Speed Bout!?,https://i.scdn.co/image/ab67616d00001e026286b366f3065516f51ce06e,Pop Rising,Pop
72,['H.E.R.'],Damage,https://i.scdn.co/image/ab67616d00001e029276b0040c00070f5811019e,Pop Rising,Pop
73,"['Jax Jones', 'Au/Ra']",i miss u (with Au/Ra),https://i.scdn.co/image/ab67616d00001e0210ed2ef03b65df44bb80c012,Pop Rising,Pop
74,"['FLETCHER', 'Kito']",Bitter (feat. Trevor Daniel),https://i.scdn.co/image/ab67616d00001e02a00ed472de577d7e2b7ead3a,Pop Rising,Pop
75,"['BabyJake', '24kGoldn']",Cigarettes On Patios (Remix),https://i.scdn.co/image/ab67616d00001e028b243a0e52758b1b564d2621,Pop Rising,Pop
76,['Ruel'],"Bright Lights, Red Eyes",https://i.scdn.co/image/ab67616d00001e024435dabd397b1b3b791c8815,Pop Rising,Pop
77,['Kiiara'],lil kiiwi,https://i.scdn.co/image/ab67616d00001e0204090677fe520a72568910ec,Pop Rising,Pop
78,"['ILLENIUM', 'Annika Wells']",Nightlight,https://i.scdn.co/image/ab67616d00001e024ff57db402e4141de3aff36f,Pop Rising,Pop
79,['Shawn Mendes'],Wonder,https://i.scdn.co/image/ab67616d00001e023d9621bb2904dc57a60a6b36,Pop Rising,Pop
80,['Tai Verdes'],Stuck in the Middle,https://i.scdn.co/image/ab67616d00001e02be61e0dc6cdf58dbb5e3278c,Pop Rising,Pop
81,['JP Saxe'],A Little Bit Yours,https://i.scdn.co/image/ab67616d00001e02e8f586f730554a31ff8c42b4,Pop Rising,Pop
82,"['Sigala', 'James Arthur']",Lasting Lover,https://i.scdn.co/image/ab67616d00001e02c81e8266fc5973137c314afc,Pop Rising,Pop
83,['YUNGBLUD'],cotton candy,https://i.scdn.co/image/ab67616d00001e02f23de6e7cd27c5dfa1e4f31b,Pop Rising,Pop
84,['FINNEAS'],Can't Wait To Be Dead,https://i.scdn.co/image/ab67616d00001e02d18cdc3a1980a9871e7c717b,Pop Rising,Pop
0,['Phoebe Bridgers'],Kyoto (Copycat Killer Version),https://i.scdn.co/image/ab67616d00001e02faf4641ffa1ac3c4647ffed8,All New Indie,Indie
1,['Hope Tala'],Girl Eats Sun,https://i.scdn.co/image/ab67616d00001e020233d1ceb0813ce5d532b77c,All New Indie,Indie
2,['Pale Waves'],Change,https://i.scdn.co/image/ab67616d00001e02b561d5c8b63e55716f07a6ff,All New Indie,Indie
3,['Brijean'],Day Dreaming,https://i.scdn.co/image/ab67616d00001e0258047f491e77d21b0f46c36f,All New Indie,Indie
4,"['Cavetown', 'Miloe']",Let Me Feel Low (feat. Miloe),https://i.scdn.co/image/ab67616d00001e02e337cb59e16ae13ff021881e,All New Indie,Indie
5,['Kid Bloom'],"Hold In, Hold On",https://i.scdn.co/image/ab67616d00001e02d9a04ca1084b0cfa6d0f7308,All New Indie,Indie
6,['Sorcha Richardson'],The Starlight Lounge,https://i.scdn.co/image/ab67616d00001e02a128682b1fd7808048e176a6,All New Indie,Indie
7,['Alfie Templeman'],Shady,https://i.scdn.co/image/ab67616d00001e02549c3860d2ccf7947f2e9b89,All New Indie,Indie
8,['Nation of Language'],A Different Kind of Life,https://i.scdn.co/image/ab67616d00001e02087f35f88e1cd04750235da5,All New Indie,Indie
9,['Foster The People'],"In The Darkest Of Nights, Let The Birds Sing",https://i.scdn.co/image/ab67616d00001e02550bfaa90630124f5b7023ef,All New Indie,Indie
10,['Soccer Mommy'],color theory (selected demos),https://i.scdn.co/image/ab67616d00001e02e4b96546435c9b844a914f2e,All New Indie,Indie
11,"['Quarter-Life Crisis', 'Ryan Hemsworth', 'Hand Habits']",Comfortable,https://i.scdn.co/image/ab67616d00001e023223bc44d4add0f07158b7b7,All New Indie,Indie
12,['The Antlers'],It Is What It Is,https://i.scdn.co/image/ab67616d00001e028f90d3ac615601c7d4983e01,All New Indie,Indie
13,"['Young Saab', 'jackson lee morgan']",texas summer,https://i.scdn.co/image/ab67616d00001e02c0bf23744a8096a1c61b79f9,All New Indie,Indie
14,['Pom Poko'],Like A Lady,https://i.scdn.co/image/ab67616d00001e027ec18fb29c6dd7d0a7d18e4d,All New Indie,Indie
15,['COLETON RUBIN'],greN,https://i.scdn.co/image/ab67616d00001e02cf7f82c1eabcdb7481106c56,All New Indie,Indie
16,['Homeschool'],Satisfied,https://i.scdn.co/image/ab67616d00001e02ad5055dc13d10f2bf0401770,All New Indie,Indie
17,['KALI'],Back to the Start,https://i.scdn.co/image/ab67616d00001e027115d4590fe8a44d9804ffb1,All New Indie,Indie
18,['Zeph'],goodnight moon (demos),https://i.scdn.co/image/ab67616d00001e02807ca99493ddac2fce2b0145,All New Indie,Indie
19,['Alaska Reid'],Oblivion,https://i.scdn.co/image/ab67616d00001e0270d5cdb7cae09c93d6fba965,All New Indie,Indie
20,['Zack Villere'],FOR THE REST OF MY LIFE,https://i.scdn.co/image/ab67616d00001e02dcf9a3f53dfb69e059e16b9d,All New Indie,Indie
21,['Valley Boy'],Cigarette,https://i.scdn.co/image/ab67616d00001e022e1996dd0c70fc164c10f219,All New Indie,Indie
22,['STEPHAN'],WINTER SOLSTICE,https://i.scdn.co/image/ab67616d00001e021927a69d3fcf740815534e32,All New Indie,Indie
23,"['Sega Bodega', 'Låpsley']",Make U Stay,https://i.scdn.co/image/ab67616d00001e022f16fa8350de4174960c2f53,All New Indie,Indie
24,['Jade Bird'],Headstart,https://i.scdn.co/image/ab67616d00001e028793659c4794e5c29383a802,All New Indie,Indie
25,['Tunng'],Tunng Presents…DEAD CLUB,https://i.scdn.co/image/ab67616d00001e023b45c8fbd9a78f0a7e462799,All New Indie,Indie
26,['Jamie B.'],Calling The Shots,https://i.scdn.co/image/ab67616d00001e02ad568468966de15afff3788f,All New Indie,Indie
27,['Tim Atlas'],Wallflower,https://i.scdn.co/image/ab67616d00001e02efb82149a47fa0faeaf15a0b,All New Indie,Indie
28,['Rook Monroe'],Honey,https://i.scdn.co/image/ab67616d00001e02817a749e303d182c41c0f7ef,All New Indie,Indie
29,['Novo Amor'],"Cannot Be, Whatsoever",https://i.scdn.co/image/ab67616d00001e0270c5f7f71006175627ab9077,All New Indie,Indie
30,['Jane Weaver'],The Revolution Of Super Visions (Edit),https://i.scdn.co/image/ab67616d00001e0299c829641aa2b3a522ed4826,All New Indie,Indie
31,['Brittany Howard'],You'll Never Walk Alone,https://i.scdn.co/image/ab67616d00001e023f1115b68609c4adafb727c6,All New Indie,Indie
32,['Master Peace'],Love Bites,https://i.scdn.co/image/ab67616d00001e02de388538607f2377bab3f58c,All New Indie,Indie
33,['Mishegas'],Untitled,https://i.scdn.co/image/ab67616d00001e0233c824ccbada62170e2ff972,All New Indie,Indie
34,"['chemical club', 'fanclubwallet']",double down,https://i.scdn.co/image/ab67616d00001e025d02944c07691afc2d86e3a8,All New Indie,Indie
35,['Charlie Hickey'],No Good at Lying,https://i.scdn.co/image/ab67616d00001e0225e8666afb48907a9a1f9ce2,All New Indie,Indie
36,['LARRY PINK THE HUMAN'],Wasted Days (Inbetweens),https://i.scdn.co/image/ab67616d00001e028d6e577a302bcb4719e3fbd3,All New Indie,Indie
37,['Baby Queen'],Want Me,https://i.scdn.co/image/ab67616d00001e021be4d5712a8e94ca7fadb651,All New Indie,Indie
38,['C.S. Fulp'],Sunburn,https://i.scdn.co/image/ab67616d00001e02ca7408ffd199915cd17a65ca,All New Indie,Indie
39,['Vlad Holiday'],I'll Probably Never Be Somebody,https://i.scdn.co/image/ab67616d00001e027b64018824f8cdd95fb52785,All New Indie,Indie
40,['Peter The Human Boy'],This Kind of Love,https://i.scdn.co/image/ab67616d00001e02098ee6b4d29bd3bd0f8c4f86,All New Indie,Indie
41,['Fleece'],Upside Down,https://i.scdn.co/image/ab67616d00001e0228e2a6fe7ae5bed623c87839,All New Indie,Indie
42,['LUI HILL'],Creatures,https://i.scdn.co/image/ab67616d00001e020531afd23874d5104a9a22d6,All New Indie,Indie
43,['Sally Boy'],EREZ,https://i.scdn.co/image/ab67616d00001e02ec4d2edd39cf179ccb81bef0,All New Indie,Indie
44,['Bakar'],1st Time,https://i.scdn.co/image/ab67616d00001e020bfe661fbf9e76994f94d018,All New Indie,Indie
45,['The Avalanches'],Interstellar Love (feat. Leon Bridges),https://i.scdn.co/image/ab67616d00001e020404f37e971a4153b87fc29a,All New Indie,Indie
46,['Shelly'],Shelly,https://i.scdn.co/image/ab67616d00001e02d711a839a6e39efda6b6ba88,All New Indie,Indie
47,"['Myd', 'Mac DeMarco']",Moving Men,https://i.scdn.co/image/ab67616d00001e02dae0011dbd8481aace6716d0,All New Indie,Indie
48,['Oneohtrix Point Never'],Midday Suite,https://i.scdn.co/image/ab67616d00001e020365520a7a9c172463d73288,All New Indie,Indie
49,"['Helado Negro', 'Flock of Dimes']",Lotta Love,https://i.scdn.co/image/ab67616d00001e02cd41d25a080a4ff05a7b46c7,All New Indie,Indie
50,"['Jim-E Stack', 'Kacy Hill']",Can We (with Kacy Hill),https://i.scdn.co/image/ab67616d00001e0263a1d727cadc9e9a9dd580e4,All New Indie,Indie
51,['Ambar Lucid'],Head Down,https://i.scdn.co/image/ab67616d00001e02029ca9f1e75c6630c3a798f2,All New Indie,Indie
52,['Rhye'],Black Rain,https://i.scdn.co/image/ab67616d00001e02588e024782378d5f215598b4,All New Indie,Indie
